"","ISSUENO","ISSUEDATE","ISSUETIME","VIODESCRIPTION","LOCATIONDESC1"
"78656",459829731,"2/8/12","11:57:00 AM","METER PARKING VIOLATION","823 W MITCHELL ST"
"357622",462649666,"6/21/12","7:29:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","841 N OLD WORLD THIRD STREET ST"
"189511",460897754,"3/31/12","12:33:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","934 N 6TH ST"
"666425",466147603,"11/24/12","3:49:00 AM","NIGHT PARKING","3441 N NEWHALL ST"
"39662",459508136,"1/20/12","2:29:00 AM","NIGHT PARKING - WINTER RESTRICTED","4933 W CENTER ST"
"660901",466042102,"11/20/12","3:42:00 AM","NIGHT PARKING","3951 N 20TH ST"
"579208",465324123,"10/10/12","5:43:00 AM","NIGHT PARKING","938 N 16TH ST"
"317754",661295810,"6/1/12","6:25:00 AM","TOW-AWAY ZONE (BLOCKING TRAFFIC)","3015 N BUFRUM ST"
"165071",460681325,"3/19/12","10:44:00 AM","METER PARKING VIOLATION","241 N WATER ST"
"425256",463470324,"7/27/12","11:24:00 AM","PARKED IN EXCESS OF 1/4 HOUR PROHIBITED","305 W EVERETT ST"
"8488",459420780,"1/5/12","4:14:00 AM","NIGHT PARKING","2016 S 25 ST"
"160810",460218651,"3/16/12","5:23:00 AM","NIGHT PARKING","1711 N 38TH ST"
"709769",466122856,"12/13/12","2:26:00 AM","NIGHT PARKING - WRONG SIDE","2337 N 40TH ST"
"417449",463512910,"7/24/12","8:27:00 AM","METER PARKING VIOLATION","618 E KILBOURN AVE"
"578994",465143103,"10/10/12","12:13:00 PM","METER PARKING VIOLATION","810 N JEFFERSON ST"
"504865",464453835,"9/6/12","7:56:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","771 S 24TH ST"
"107186",459845886,"2/21/12","5:41:00 AM","NIGHT PARKING - WRONG SIDE","2929 S MABBETT AVE"
"351854",462639553,"6/19/12","2:06:00 AM","NIGHT PARKING","6132 W PORT AVE"
"553167",464936990,"9/27/12","3:59:00 AM","NIGHT PARKING - WRONG SIDE","2841 S AUSTIN ST"
"672298",466208691,"11/28/12","8:47:00 AM","METER PARKING VIOLATION","809 N CASS ST"
"536255",464696584,"9/20/12","3:40:00 AM","NIGHT PARKING","3221 N 58TH ST"
"157623",460742645,"3/15/12","12:51:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1517 W NATIONAL AVE"
"443621",463753006,"8/6/12","4:43:00 AM","NIGHT PARKING - WRONG SIDE","2604 S LOGAN AVE"
"253530",461729800,"5/2/12","4:31:00 AM","NIGHT PARKING","7131 W SILVER SPRING DR"
"356254",462856726,"6/21/12","4:39:00 AM","NIGHT PARKING","2366 N 44TH ST"
"342966",462646096,"6/14/12","5:32:00 PM","METER PARKING VIOLATION","756 N JEFFERSON ST"
"79668",459883130,"2/8/12","6:52:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","903 N 14TH ST"
"595735",465279544,"10/19/12","4:43:00 AM","NIGHT PARKING","2502 W TAMARACK ST"
"62738",459724543,"2/1/12","5:29:00 AM","NIGHT PARKING","5445 N 83RD ST"
"308132",462317004,"5/26/12","4:58:00 AM","NIGHT PARKING","3831 N 10TH ST"
"262100",461856135,"5/6/12","6:00:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2572 N PROSPECT AVE"
"44554",459756032,"1/24/12","4:27:00 AM","NIGHT PARKING - INELIGIBLE VEHICLE","2306 N 1ST ST"
"313679",462454193,"5/31/12","1:46:00 PM","RESIDENTIAL PARKING PROGRAM","3102 N HACKETT AVE"
"599528",465293964,"10/22/12","2:41:00 AM","NIGHT PARKING - WRONG SIDE","2934 N 55TH ST"
"216021",461411646,"4/13/12","12:39:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","2866 N 9TH ST"
"164388",460869986,"3/19/12","4:18:00 AM","NIGHT PARKING","814 S 3RD ST"
"653259",466078303,"11/16/12","7:38:00 AM","RESIDENTIAL PARKING PROGRAM","2964 N CRAMER ST"
"30901",459602006,"1/14/12","2:00:00 AM","NIGHT PARKING","1365 N 59TH ST"
"619355",465461846,"10/31/12","1:15:00 PM","METER PARKING VIOLATION","1554 W NATIONAL AVE"
"249150",461624811,"5/1/12","5:44:00 AM","NIGHT PARKING","3524 S 66TH ST"
"58847",459796186,"1/30/12","12:00:00 PM","METER PARKING VIOLATION","647 N 2ND ST"
"280346",461880425,"5/14/12","12:30:00 AM","PARKED UNATTENDED HEAVY TRUCK","2121 W SCOTT ST"
"647640",465905425,"11/13/12","2:18:00 AM","NIGHT PARKING","3328 N 37TH ST"
"387933",463241925,"7/7/12","3:47:00 AM","NIGHT PARKING","2018 N HUBBARD ST"
"356639",462853775,"6/21/12","4:45:00 AM","NIGHT PARKING","8510 W HOWARD AVE"
"71033",459913311,"2/3/12","5:27:00 AM","NIGHT PARKING","3280 N 77TH ST"
"376284",462979845,"7/2/12","2:03:00 AM","NIGHT PARKING","9219 N 75TH ST"
"625889",465580172,"11/2/12","2:20:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1561 5TH ST"
"16061",459440365,"1/8/12","5:25:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3209 N 33RD ST"
"641886",465751075,"11/10/12","12:06:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","3202 N DOWNER AVE"
"119629",460324911,"2/27/12","1:10:00 PM","METER PARKING VIOLATION","910 W HISTORIC MITCHELL ST"
"599436",465258146,"10/22/12","5:01:00 AM","NIGHT PARKING","2035 S 6TH ST"
"321445",462658291,"6/4/12","2:29:00 AM","NIGHT PARKING - WRONG SIDE","1816 W KEARNEY PL"
"219255",461311690,"4/16/12","8:41:00 AM","METER PARKING VIOLATION","711 E KILBOURN AVE"
"137870",459381650,"3/6/12","5:50:00 PM","METER PARKING VIOLATION","617 W HISTORIC MITCHELL ST"
"506097",464328955,"9/6/12","3:59:00 AM","NIGHT PARKING","833 N CASS ST"
"404911",463464886,"7/17/12","2:55:00 AM","NIGHT PARKING - WRONG SIDE","2335 W WISCONSIN AVE"
"249772",461728816,"5/1/12","11:43:00 AM","METER PARKING VIOLATION","2329 S KINNICKINNIC AVE"
"151994",460615562,"3/13/12","2:53:00 PM","METER PARKING VIOLATION","3100 N DOWNER AVE"
"412195",463460093,"7/20/12","3:58:00 PM","METER PARKING VIOLATION","315 E MICHIGAN ST"
"486671",464040695,"8/28/12","4:58:00 AM","NIGHT PARKING","1239 S 17TH ST"
"49219",459738274,"1/25/12","2:48:00 AM","NIGHT PARKING - WRONG SIDE","3315 W SCOTT ST"
"717450",466677923,"12/18/12","3:21:00 AM","NIGHT PARKING","2317 E PARK PL"
"321584",462658906,"6/4/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","1308 S 30TH ST"
"727546",662632762,"12/22/12","12:54:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","1701 S 1ST ST"
"605330",465550201,"10/24/12","8:43:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","2216 E PARK PL"
"576436",465030230,"10/9/12","1:06:00 PM","METER PARKING VIOLATION","1206 W HISTORIC MITCHELL ST"
"434237",463724295,"8/1/12","12:47:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","326 E JUNEAU AVE"
"594492",465307290,"10/18/12","1:37:00 PM","METER PARKING VIOLATION","428 W ST PAUL AV"
"14568",459339506,"1/7/12","4:42:00 AM","NIGHT PARKING","4432 W MEDFORD AVE"
"355963",462795826,"6/21/12","4:09:00 PM","METER PARKING VIOLATION","525 E CHICAGO ST"
"673487",466142316,"11/28/12","10:53:00 PM","METER PARKING VIOLATION","1711 N WARREN AVE"
"413903",463137975,"7/21/12","3:35:00 AM","NIGHT PARKING","3302 W SILVER SPRING DR"
"570648",464931316,"10/6/12","3:38:00 AM","NIGHT PARKING - WRONG SIDE","2804 W MICHIGAN ST"
"170284",461004375,"3/21/12","3:20:00 AM","NIGHT PARKING","2318 W WALNUT ST"
"327224",462566134,"6/6/12","1:20:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2816 E KENWOOD BLVD"
"461753",463908513,"8/15/12","12:14:00 PM","METER PARKING VIOLATION","730 N OLD WORLD THIRD ST AVE"
"490443",464289136,"8/29/12","12:13:00 PM","METER PARKING VIOLATION","712 E WELLS ST"
"589406",465112664,"10/16/12","2:53:00 AM","NIGHT PARKING","311 S ERIE ST"
"37158",459628083,"1/19/12","10:26:00 AM","METER PARKING VIOLATION","534 N JEFFERSON ST"
"608145",465229796,"10/25/12","4:03:00 AM","NIGHT PARKING - WRONG SIDE","2415 E BENNETT AVE"
"609499",465458405,"10/26/12","10:56:00 AM","METER PARKING VIOLATION","643 N PLANKINTON AVE"
"178275",461117296,"3/26/12","11:41:00 AM","METER PARKING VIOLATION","230 E ST PAUL AV"
"707612",466457692,"12/13/12","3:12:00 PM","METER PARKING VIOLATION","1555 FARWELL AVE"
"675563",465987911,"11/29/12","3:58:00 AM","NIGHT PARKING - WRONG SIDE","4973 N 37TH ST"
"715861",466579153,"12/17/12","4:38:00 AM","NIGHT PARKING - WRONG SIDE","1509 W FIEBRANTZ AVE"
"410007",463007882,"7/19/12","4:09:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3461 N MURRAY AVE"
"293708",462202790,"5/21/12","9:03:00 PM","PARKED ON SIDEWALK (SIDEWALK AREA)","2042 N 54 ST"
"713549",466500226,"12/15/12","4:07:00 AM","NIGHT PARKING","3242 N BARTLETT AVE"
"212239",461522003,"4/12/12","3:24:00 AM","NIGHT PARKING - WRONG SIDE","1028 E EUCLID AVE"
"671661",466162001,"11/27/12","1:01:00 PM","METER PARKING VIOLATION","227 W WISCONSIN AVE"
"652682",465943354,"11/15/12","5:02:00 AM","NIGHT PARKING","1727 E BRADFORD AVE"
"387531",463138222,"7/7/12","5:07:00 AM","NIGHT PARKING - WRONG SIDE","1719 S 2ND ST"
"415229",463320395,"7/23/12","3:14:00 AM","NIGHT PARKING","3340 N BUFFUM ST"
"171064",460904883,"3/22/12","4:06:00 PM","METER PARKING VIOLATION","161 N BROADWAY"
"715898",466662766,"12/17/12","4:39:00 AM","NIGHT PARKING - WRONG SIDE","5709 W MAIN ST"
"67062",459930166,"2/2/12","1:09:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2271 S 15 PL"
"129917",460425560,"3/1/12","11:51:00 AM","METER PARKING VIOLATION","530 N JEFFERSON ST"
"283698",462109233,"5/16/12","4:39:00 AM","NIGHT PARKING","2143 N 28TH ST"
"402310",463285583,"7/16/12","8:22:00 AM","VEH FOR SALE ON PUBLIC PROPERTY","1620 W OHIO AVE"
"415930",463271723,"7/23/12","1:06:00 PM","METER PARKING VIOLATION","2919 N OAKLAND AVE"
"452305",463233901,"8/10/12","11:51:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","5030 W CONCORDIA AVE"
"720128",466560312,"12/19/12","3:25:00 AM","NIGHT PARKING - WINTER RESTRICTED","3385 N 35TH ST"
"601897",465432365,"10/23/12","12:57:00 PM","METER PARKING VIOLATION","710 N 2ND ST"
"493122",464388050,"8/30/12","5:19:00 PM","METER PARKING VIOLATION","320 N WATER ST"
"548503",464911182,"9/26/12","10:47:00 AM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","5019 W CHAMBERS ST"
"472722",464045271,"8/21/12","5:53:00 PM","METER PARKING VIOLATION","409 E BUFFALO ST"
"731366",466786611,"12/24/12","5:46:00 AM","NIGHT PARKING - WRONG SIDE","926 S 37TH ST"
"193250",662546861,"4/2/12","3:20:00 AM","NIGHT PARKING - WRONG SIDE","2800 W WRIGHT ST"
"675066",466158770,"11/29/12","5:12:00 AM","NIGHT PARKING - WRONG SIDE","6011 W PORT AVE"
"77903",460078194,"2/8/12","4:02:00 AM","NIGHT PARKING - WINTER RESTRICTED","771 N WATER ST"
"416654",463152793,"7/24/12","5:48:00 AM","NIGHT PARKING - WRONG SIDE","3322 N 81ST ST"
"78056",459945695,"2/8/12","8:02:00 PM","UNREGISTERED/ IMPROPERLY REGISTERED VEHICLE","254 E TOWNSEND ST"
"136909",460716561,"3/6/12","4:55:00 PM","METER PARKING VIOLATION","1017 W HISTORIC MITCHELL ST"
"482492",464176952,"8/25/12","5:27:00 PM","METER PARKING VIOLATION","2309 N FARWELL AVE"
"483524",464048174,"8/25/12","4:22:00 AM","NIGHT PARKING - WRONG SIDE","2451 N 45TH ST"
"365668",463012841,"6/26/12","5:14:00 PM","METER PARKING VIOLATION","310 E BUFFALO ST"
"284197",461693186,"5/16/12","5:31:00 AM","NIGHT PARKING - WRONG SIDE","3376 S 23 ST"
"363313",462974142,"6/25/12","2:25:00 PM","METER PARKING VIOLATION","274 E MENOMONEE ST"
"139337",458293032,"3/7/12","9:05:00 AM","METER PARKING VIOLATION","1661 S 9 ST"
"549406",464586102,"9/26/12","2:05:00 PM","METER PARKING VIOLATION","1400 W CLYBOURN ST"
"685220",466235195,"12/4/12","5:47:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4933 W CHAMBERS ST"
"636112",465561025,"11/8/12","3:32:00 AM","NIGHT PARKING","1805 N WARREN AVE"
"593146",465119620,"10/18/12","1:41:00 PM","PARKED POSTED PRIVATE PROPERTY","1650 N FARWELL AVE LOT"
"27922",459458462,"1/13/12","11:54:00 AM","SNOW PARKING REGULATION 4 + INCHES","2210 S 15TH ST"
"260138",662686522,"5/4/12","11:30:00 AM","TOW-AWAY ZONE (BLOCKING TRAFFIC)","4279 N 48TH ST"
"619684",465681893,"10/31/12","4:12:00 AM","NIGHT PARKING","2013 E BELLEVIEW PL"
"671514",465267983,"11/27/12","2:44:00 AM","NIGHT PARKING","5129 W HADLEY ST"
"69823",459789960,"2/3/12","5:36:00 PM","METER PARKING VIOLATION","1111 N VAN BUREN ST"
"185179",460303550,"3/29/12","3:26:00 AM","NIGHT PARKING","2920 W CHERRY ST"
"145896",460142012,"3/9/12","2:11:00 PM","METER PARKING VIOLATION","715 N PROSPECT AVE"
"435429",463743206,"8/2/12","2:13:00 PM","METER PARKING VIOLATION","205 N BROADWAY"
"388546",463281416,"7/9/12","5:37:00 AM","NIGHT PARKING - WRONG SIDE","3351 S ILLINOIS AVE"
"210190",461313974,"4/11/12","5:21:00 AM","NIGHT PARKING - WRONG SIDE","2737 N GRANT BLVD"
"611806",465237441,"10/27/12","2:48:00 AM","NIGHT PARKING - WRONG SIDE","3115 S 11TH ST"
"576871",465045184,"10/10/12","11:31:00 AM","METER PARKING VIOLATION","1672 S 12TH ST"
"734123",466705330,"12/27/12","9:24:00 AM","METER PARKING VIOLATION","631 E STATE ST"
"198634",461173856,"4/4/12","2:41:00 AM","NIGHT PARKING","4373 N 88TH ST"
"526451",464446706,"9/15/12","2:31:00 AM","NIGHT PARKING - WRONG SIDE","3117 N 25TH ST"
"488020",464184512,"8/28/12","3:05:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","910 N ASTOR ST"
"589078",465133970,"10/16/12","2:02:00 AM","NIGHT PARKING - WRONG SIDE","150 W TRIPOLI AVE"
"376195",462631374,"7/2/12","2:24:00 AM","NIGHT PARKING","1962 N SUMMIT AVE"
"694310",465935971,"12/7/12","2:04:00 AM","NIGHT PARKING - WINTER RESTRICTED","3614 N 51ST BLVD"
"23102",459481525,"1/11/12","3:04:00 PM","TOW-AWAY ZONE (POSTED)","311 W WISCONSIN AVE"
"665605",466200453,"11/24/12","3:06:00 AM","NIGHT PARKING - WRONG SIDE","1228 N 24TH ST"
"137132",459985794,"3/6/12","4:46:00 AM","NIGHT PARKING - WRONG SIDE","7612 W LOCUST ST"
"259212",461753600,"5/4/12","2:03:00 AM","NIGHT PARKING","1001 S 34 ST"
"708021",466608730,"12/13/12","12:41:00 PM","METER PARKING VIOLATION","400 N WATER ST"
"644265",465897725,"11/12/12","9:51:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1001 E HAMILTON ST"
"308282",462580366,"5/26/12","6:56:00 AM","ANGLE PARKING","1831 N WARREN AVE"
"31867",459361803,"1/16/12","10:12:00 AM","PARKING PROHIBITED BY OFFICIAL SIGN","5504 N 76 ST"
"479118",463749241,"8/23/12","2:59:00 AM","NIGHT PARKING - WRONG SIDE","365 E CLARENCE ST"
"275698",461619292,"5/11/12","3:00:00 PM","METER PARKING VIOLATION","620 N 16 ST"
"54016",459800725,"1/27/12","4:59:00 AM","NIGHT PARKING","1518 S 22 ST"
"742756",466904465,"12/31/12","5:48:00 AM","NIGHT PARKING - WRONG SIDE","1575 S 23RD ST"
"208973",461540586,"4/10/12","4:48:00 AM","NIGHT PARKING","1936 N BARTLETT AVE"
"480270",464220411,"8/24/12","12:51:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","701 S 23RD ST"
"698870",466323104,"12/8/12","10:31:00 AM","METER PARKING VIOLATION","2445 N FARWELL AVE"
"13221",459043583,"1/6/12","1:07:00 PM","PARKED POSTED PRIVATE PROPERTY","822 N 3RD ST"
"732670",466647204,"12/26/12","7:42:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1121 N 29TH ST"
"49327",459679754,"1/25/12","5:46:00 AM","NIGHT PARKING","1331 N 28TH ST"
"138029",460229372,"3/6/12","12:48:00 PM","METER PARKING VIOLATION","220 E BUFFALO ST"
"322218",462600530,"6/4/12","12:48:00 AM","PARKED WRONG DIRECTION","506 W VIRGINIA ST"
"434127",463619505,"8/1/12","2:19:00 AM","NIGHT PARKING","606 E TOWNSEND ST"
"400950",462919660,"7/14/12","2:25:00 PM","METER PARKING VIOLATION","2145 N PROSPECT AVE"
"601065",465258592,"10/22/12","7:54:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1028 N 8TH ST"
"708516",466636306,"12/13/12","2:48:00 AM","NIGHT PARKING - WINTER RESTRICTED","7228 W APPLETON AVE"
"153023",460723782,"3/13/12","4:04:00 AM","NIGHT PARKING","2402 N 28TH ST"
"99444",460186926,"2/17/12","10:23:00 AM","METER PARKING VIOLATION","625 N 11TH ST"
"488408",464231003,"8/28/12","3:14:00 AM","NIGHT PARKING - WRONG SIDE","3076 N 72ND ST"
"446402",463631011,"8/7/12","3:31:00 PM","METER PARKING VIOLATION","765 N JACKSON ST"
"269681",460561102,"5/9/12","12:05:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1930 N DR. M.L. KING JR. DR"
"241370",461596483,"4/26/12","11:18:00 AM","METER PARKING VIOLATION","822 W HIGHLAND AVE"
"215979",461386251,"4/13/12","9:58:00 AM","METER PARKING VIOLATION","785 N JEFFERSON ST"
"187399",461107603,"3/30/12","4:17:00 AM","NIGHT PARKING - WRONG SIDE","3770 S 16 ST"
"310603",462328156,"5/30/12","9:05:00 AM","METER PARKING VIOLATION","1233 W VLIET ST"
"430057",463585253,"7/31/12","1:19:00 PM","PARKED WITHIN 10 FEET OF FIRE HYDRANT","3236 N DOWNER AVE"
"80050",459970910,"2/8/12","11:50:00 AM","METER PARKING VIOLATION","544 N 3RD ST"
"634732",465623373,"11/7/12","5:17:00 AM","NIGHT PARKING","661 S 60TH ST"
"246601",461660404,"4/30/12","3:49:00 PM","METER PARKING VIOLATION","752 N 9TH ST"
"283128",462098556,"5/15/12","5:17:00 AM","NIGHT PARKING","3396 N 22ND ST"
"708097",466554303,"12/13/12","7:54:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","1606 E ROYALL PL"
"460060",463997763,"8/14/12","2:13:00 AM","NIGHT PARKING - WRONG SIDE","5852 N 36TH ST"
"94241",460196376,"2/15/12","4:01:00 AM","NIGHT PARKING","2633 N 45TH ST"
"510766",464484366,"9/8/12","2:13:00 AM","NIGHT PARKING - WRONG SIDE","2054 S 34TH ST"
"703709",466484222,"12/11/12","4:01:00 AM","NIGHT PARKING - WRONG SIDE","1951 S 31ST ST"
"354753",462884671,"6/20/12","2:42:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","3205 N NEWHALL ST"
"507980",464241551,"9/7/12","2:17:00 PM","METER PARKING VIOLATION","839 N JEFFERSON ST"
"329111",462381334,"6/7/12","4:36:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","2910 W CAPITOL DR"
"666414",466200663,"11/24/12","3:43:00 AM","NIGHT PARKING","1311 N 28TH ST"
"592351",465362155,"10/17/12","2:53:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1228 N MARSHALL ST"
"591747",465271855,"10/17/12","3:57:00 PM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4909 W CHAMBERS ST"
"732669",466621761,"12/26/12","7:41:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"709290",466598591,"12/13/12","7:22:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1830 W OHIO AVE"
"629938",465689302,"11/5/12","10:39:00 AM","METER PARKING VIOLATION","510 E KILBOURN AV"
"169684",461018445,"3/21/12","1:46:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3130 S 28TH ST"
"700501",466526605,"12/10/12","2:17:00 AM","NIGHT PARKING - WINTER RESTRICTED","515 E HOWARD AVE"
"488959",464041082,"8/28/12","7:19:00 PM","METER PARKING VIOLATION","1710 N ARLINGTON PL"
"708669",466604994,"12/13/12","6:10:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","2563 N BARTLETT AVE"
"266989",462014991,"5/8/12","2:27:00 PM","PARKED IN EXCESS OF 1/4 HOUR PROHIBITED","2731 E HAMPSHIRE ST"
"295751",461815830,"5/22/12","7:19:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","6613 W SILVER SPRING DR"
"515228",464365963,"9/11/12","5:54:00 AM","NIGHT PARKING","3536 N 26TH ST"
"179086",461094631,"3/26/12","7:19:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","1770 N HUBBARD ST"
"188127",460585300,"3/30/12","4:56:00 AM","NIGHT PARKING - WRONG SIDE","2456 N 53RD ST"
"395269",463343705,"7/11/12","5:24:00 AM","NIGHT PARKING - WRONG SIDE","975 W DAKOTA ST"
"424622",463657773,"7/27/12","1:53:00 PM","METER PARKING VIOLATION","1115 N 8TH ST"
"120039",460580256,"2/27/12","9:29:00 PM","PARKED LESS THAN 15 FEET FROM CROSSWALK","2328 E WEBSTER PL"
"436863",463780483,"8/2/12","4:10:00 AM","NIGHT PARKING - WRONG SIDE","2528 S WILLIAMS ST"
"408715",463386755,"7/19/12","2:10:00 AM","NIGHT PARKING - WRONG SIDE","2503 N 50TH ST"
"307428",462514592,"5/26/12","3:12:00 AM","NIGHT PARKING","2067 S 25TH ST"
"75948",459873536,"2/7/12","3:28:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3235 N SUMMIT AVE"
"256722",461877835,"5/3/12","7:44:00 PM","PARKED WITHIN 4 FEET OF DRIVE OR ALLEY","2617 E HARTFORD AVE"
"181677",460879075,"3/27/12","3:06:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1037 E OGDEN AVE"
"312638",462161534,"5/31/12","2:42:00 AM","NIGHT PARKING - WRONG SIDE","3405 S INDIANA AVE"
"525022",464633422,"9/14/12","11:52:00 AM","PARKED IN PUBLIC PROPERTY, NO PERMIT","1223 S 15TH PL"
"463449",464032951,"8/16/12","2:51:00 AM","NIGHT PARKING","221 E CLARKE ST"
"298970",462215316,"5/23/12","3:13:00 AM","NIGHT PARKING","937 N 14TH ST"
"734902",466874855,"12/27/12","11:56:00 AM","METER PARKING VIOLATION","825 N OLD WORLD THIRD ST"
"107301",460485911,"2/21/12","5:29:00 AM","NIGHT PARKING - WRONG SIDE","223 W OREGON ST"
"179401",460959531,"3/27/12","5:08:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","2975 N STOWELL AVE"
"189106",460913401,"3/30/12","5:14:00 PM","PARKING PROHIBITED BY OFFICIAL SIGN","4414 W CAPITOL DR"
"571470",464931876,"10/6/12","5:32:00 AM","NIGHT PARKING - WRONG SIDE","3012 W JUNEAU AVE"
"88005",460156690,"2/12/12","4:51:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4436 N 74TH ST"
"153698",460848802,"3/14/12","12:17:00 AM","PARKED LESS THAN 15 FEET FROM CROSSWALK","771 S 26 ST"
"675189",466142983,"11/29/12","4:58:00 PM","METER PARKING VIOLATION","727 E KILBOURN AVE"
"323574",462341843,"6/5/12","5:10:00 AM","NIGHT PARKING","2026 W ROOSEVELT DR"
"514273",464494225,"9/10/12","5:34:00 AM","NIGHT PARKING - WRONG SIDE","2228 N 42ND ST"
"13166",459263556,"1/6/12","9:55:00 AM","METER PARKING VIOLATION","705 E MASON ST"
"321704",462367555,"6/4/12","5:21:00 AM","NIGHT PARKING - WRONG SIDE","4110 N 22ND ST"
"297836",462338030,"5/22/12","2:25:00 AM","NIGHT PARKING","5877 S MELINDA ST"
"18109",459519745,"1/9/12","3:22:00 AM","NIGHT PARKING - WRONG SIDE","731 S 29 ST"
"39751",459467982,"1/20/12","3:49:00 AM","NIGHT PARKING","2521 N 20TH ST"
"44119",459461925,"1/23/12","1:45:00 PM","METER PARKING VIOLATION","920 W WELLS ST"
"364238",463023363,"6/26/12","2:00:00 AM","NIGHT PARKING - WRONG SIDE","2702 N 44TH ST"
"316558",461831705,"6/1/12","4:09:00 AM","NIGHT PARKING","2626 N PIERCE ST"
"544961",464826191,"9/24/12","6:36:00 PM","RESIDENTIAL PARKING PROGRAM","3128 N SHEPARD ST"
"520382",464513173,"9/12/12","8:43:00 PM","METER PARKING VIOLATION","1935 N FARWELL AVE"
"645202",465663542,"11/12/12","3:49:00 PM","PARKED IN EXCESS OF 1 HOUR PROHIBITED","3013 N CRAMER ST"
"668500",465981121,"11/26/12","4:09:00 AM","NIGHT PARKING - WRONG SIDE","3216 N 83RD ST"
"448032",463839541,"8/8/12","11:17:00 AM","METER PARKING VIOLATION","127 E WELLS ST"
"299477",461953730,"5/23/12","11:07:00 AM","PARKED POSTED PRIVATE PROPERTY","8800 W BLUE MOUND LOT"
"53206",459632740,"1/27/12","8:39:00 AM","METER PARKING VIOLATION","1010 N MILWAUKEE ST"
"404434",462962673,"7/17/12","5:51:00 AM","NIGHT PARKING","4715 N 28TH ST"
"146637",460142163,"3/9/12","2:58:00 PM","METER PARKING VIOLATION","424 E BUFFALO ST"
"384280",462557244,"7/6/12","12:20:00 PM","RESIDENTIAL PARKING PROGRAM","3414 N BARTLETT AVE"
"36337",459650365,"1/19/12","7:52:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","4260 N 30TH ST"
"113590",460181982,"2/23/12","8:56:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","1421 W WELLS ST"
"47041",459697593,"1/24/12","2:10:00 AM","NIGHT PARKING","2751 N HUMBOLDT BLVD"
"17664",459524376,"1/9/12","12:09:00 PM","PARKED IN EXCESS OF 2 HOURS PROHIBITED","1020 N JACKSON ST"
"655263",465910756,"11/16/12","5:50:00 PM","METER PARKING VIOLATION","1227 N 4TH ST"
"230057",461379096,"4/21/12","5:26:00 PM","METER PARKING VIOLATION","2232 S KINNICKINNIC AVE"
"166212",459627512,"3/20/12","5:26:00 PM","METER PARKING VIOLATION","1156 N 8TH ST"
"666705",465991271,"11/24/12","7:47:00 AM","IMPROPERLY DISPLAYED VEHICLE REGISTRATION","3049 N HUMBOLDT BLVD"
"157497",460821550,"3/15/12","12:12:00 PM","METER PARKING VIOLATION","2957 N OAKLAND AVE"
"539159",464918580,"9/21/12","5:41:00 AM","NIGHT PARKING","2933 N MURRAY AVE"
